country	name	city	type	website	facebook	source
FR	Aloha Wakepark	La Tranche-sur-Mer	system2		facebook.com/alohawakepark	tsn44
FR	Authentic Wake Park	Rochebrune	system2		facebook.com/AuthenticWakePark	tsn44
FR	AWAKE Park	Saint-Jory	system2		facebook.com/awakepark	tsn44
FR	Cachin Wake Park 73	Lescheraines	system2	cachinwakepark.com		tsn44
FR	Cap'Decouverte Wakepark	Le Garric	system2	vert-marine.com		tsn44
FR	Castor Wake Park	Saint-Christoly-de-Blaye	system2		facebook.com/castorwakepark	tsn44
FR	Chill & Ride Wakepark	Orgon	system2			tsn44
FR	Courchevel Wake Park	Saint-Bon-Tarentaise	system2		facebook.com/courchevel.wake.park	tsn44
FR	Damville Wakepark	Damville	system2		facebook.com/damville.wakepark	tsn44
FR	Delta Wake Park	Vercheny	system2			tsn44
FR	Eole Aventure	Troarn	system2		facebook.com/EOLEAventure	tsn44
FR	Evasion Cable Park	Monteils	system2			tsn44
FR	Wakepark Hourtin	Hourtin	system2			tsn44
FR	Wakepark Lacanau	Lacanau	system2		facebook.com/wakeparklacanau	tsn44
FR	Jungle Wake Park	Jausiers	system2			tsn44
FR	Kithau Wakepark	Marseillan	system2		facebook.com/Kithau	tsn44
FR	KS Wakepark	Apremont	system2		facebook.com/ks.wakepark	tsn44
FR	Martinique Wake Park	Les Trois-Ilets	system2		facebook.com/martiniquewakepark	tsn44
FR	Massif Wake Park	Cournon-d'Auvergne	system2		facebook.com/massifwakepark	tsn44
FR	Mountain Wake Park	Saint-Julien-en-Champsaur	system2		facebook.com/MOUNTAINWAKEPARK	tsn44
FR	Nat Wake Board'O	Cadaujac	system2		facebook.com/ecowakepark33	tsn44
FR	Off Axis Wake	Muret	system2		facebook.com/offaxis.wake	tsn44
FR	Brumath Aventure Wakepark	Brumath	system2	brumath-aventure.fr		tsn44
FR	Paris Wakepark	Choisy-le-Roi	system2	lasourcewakepark.fr		tsn44
FR	Poule Wake Park	Feissons-sur-Isere	system2	poulewakepark.fr		tsn44
FR	Teleski Nautique de Carcassonne	Carcassonne	system2			tsn44
FR	Teleski Nautique de Saugues	Saugues	system2			tsn44
FR	TeMerAir WakePark	Arvert	system2		facebook.com/TeMerairWakePark	tsn44
FR	The Wake Camp Saverdun	Saverdun	system2			tsn44
FR	Tiki Wake Park	Seilhac	system2		facebook.com/tikiwakepark	tsn44
FR	TNB 16	Brossac	system2		facebook.com/Tnb16	tsn44
FR	Touquet Wakepark	Le Touquet-Paris-Plage	system2			tsn44
FR	Wake Up Ales	Ales	system2		facebook.com/wakeupales	tsn44
FR	Wakepark Cable La Grande-Motte	La Grande-Motte	system2	wakeparkcable.com		tsn44
FR	Wakepark Izon	Izon	system2		facebook.com/wakeparkizon	tsn44
FR	Wood Wakepark 79	Saint-Christophe-sur-Roc	system2	woodwakepark79.com		tsn44
FR	Addict Wake Park	Moirans	system2	addict-wake.fr		tsn44
FR	Original Green Park	Bessieres	system2		facebook.com/originalgreenpark	tsn44
FR	The Wakepark	Beauchamps	system2		facebook.com/thewakepark	tsn44
FR	Urban Wake Park	Le Pontet	system2		facebook.com/UrbanWakePark	tsn44
FR	Ezylake	Ezy-sur-Eure	system2		facebook.com/ezylake	tsn44
FR	Wakelagoona	Virelade	system2	wakelagoona.com		tsn44
FR	ACP Amiens Cable Park	Dreuil-les-Amiens	fullsize		facebook.com/amienscablepark	tsn44
FR	Advance Ride	Saint-Renan	fullsize			tsn44
FR	Anjou Wake Park	Notre-Dame-d'Allencon	fullsize		facebook.com/AnjouWakePark	tsn44
FR	Loisinord Stade de Glisse	Noeux-les-Mines	fullsize		facebook.com/LoisinordStadeDeGlisse	tsn44
FR	Base Nautique de Mercus	Mercus-Garrabet	fullsize			tsn44
FR	BZH Wakepark Bretagne	Dolo	fullsize	lasourcewakepark.fr		tsn44
FR	Cablepark Avensan	Avensan	fullsize		facebook.com/cablepark	tsn44
FR	Etoile Park 26	Etoile-sur-Rhone	fullsize			tsn44
FR	EXO 01 Lac de la Rena	Lent	fullsize			tsn44
FR	EXO 13 TNX Cable Park	Peyrolles-en-Provence	fullsize		facebook.com/TNXCablePark	tsn44
FR	EXO 33 Baurech	Baurech	fullsize			tsn44
FR	EXO 38 Wakepark Tencin	Tencin	fullsize	exoloisirs.com		tsn44
FR	EXO 64 Sames	Sames	fullsize		facebook.com/tnsames64	tsn44
FR	EXO 83 Le Muy	Le Muy	fullsize	exoloisirs.com		tsn44
FR	Koba Wake Park	Wittisheim	fullsize		facebook.com/kobawakepark	tsn44
FR	La Rincerie Wakepark	La Selle-Craonnaise	fullsize	wakepark-rincerie.com		tsn44
FR	La Source Wake Park	Carbonne	fullsize	lasourcewakepark.fr		tsn44
FR	Les O Kiri Wakepark	Baudreix	fullsize		facebook.com/TeleskiNautiqueDeBaudreix	tsn44
FR	Natural Wake Park	Paray-sous-Briailles	fullsize		facebook.com/naturalwakepark	tsn44
FR	South Wake Park	Puget-sur-Argens	fullsize		facebook.com/southwakepark	tsn44
FR	Teleski Nautique du Barcares	Le Barcares	fullsize		facebook.com/TeleskiBarca	tsn44
FR	Teleski Nautique de Bram	Bram	fullsize		facebook.com/teleskinautiquebram	tsn44
FR	Teleski Nautique de Cany-Barville	Vittefleur	fullsize	lacdecaniel.fr		tsn44
FR	Teleski Nautique de Lery-Poses	Poses	fullsize	lery-poses.fr		tsn44
FR	Teleski Nautique EXO 77	La Grande-Paroisse	fullsize		facebook.com/exo77lgp	tsn44
FR	Teleski Nautique Jablines-Annet	Jablines	fullsize			tsn44
FR	Teleski Nautique Moncontour	Moncontour	fullsize		facebook.com/teleskinautiquemoncontour	tsn44
FR	Teleski Nautique Pouligny-Notre-Dame	Pouligny-Notre-Dame	fullsize		facebook.com/sensasparc	tsn44
FR	Teleski Nautique de Saujon	Saujon	fullsize	teleskisaujon.fr		tsn44
FR	Teleski Nautique de Verberie	Verberie	fullsize	parknauticverberie.com		tsn44
FR	The Wake Garden	Beauvais	fullsize		facebook.com/thewakegarden	tsn44
FR	TN28	Fontaine-Simon	fullsize	tn28.fr		tsn44
FR	TNA Cablepark	Arenthon	fullsize		facebook.com/TNACablePark	tsn44
FR	TNCO Teleski Nautique Cote d'Or	Premeaux-Prissey	fullsize		facebook.com/tnco21	tsn44
FR	TNG Cable Park	L'Isle-Jourdain	fullsize		facebook.com/tngcablepark32	tsn44
FR	TNS 73	Aiton	fullsize		facebook.com/tns73	tsn44
FR	Totem Wake Park	Creches-sur-Saone	fullsize			tsn44
FR	TSN 44 Saint-Viaud	Saint-Viaud	fullsize	tsn44.com		tsn44
FR	TSN 44.2 Nozay	Nozay	fullsize	tsn44.com		tsn44
FR	Wake Paradise Spay	Spay	fullsize		facebook.com/WakeParadise72	tsn44
FR	Wakepark Cergy-Pontoise	Cergy	fullsize			tsn44
FR	WAM Park 69	Condrieu	fullsize		facebook.com/wamparklyon	tsn44
FR	WAM Park Sesquieres Toulouse	Toulouse	fullsize			tsn44
FR	West Wake Park	Inzinzac-Lochrist	fullsize	westwakepark.fr		tsn44
FR	Atlantic Wake Park	L'Aiguillon-sur-Mer	both	atlanticwakepark.com		tsn44
FR	EXO 84 Lamotte	Lamotte-du-Rhone	both		facebook.com/exolamotte	tsn44
FR	Lakecity 33	Mios	both		facebook.com/Lakecity33	tsn44
FR	My Little Wake Park	Boissise-le-Roi	both			tsn44
FR	Rouffiac Cable Park	Lanouaille	both	rouffiaccablepark.fr		tsn44
FR	TND 47	Damazan	both	tnd47.com		tsn44
FR	TSJ Wakepark	Saint-Jean-Pla-de-Corts	both	tsjwakepark.com		tsn44
FR	WAM Park 88	Thaon-les-Vosges	both		facebook.com/Vosgeswakepark	tsn44
FR	Wake Park Plesse	Plesse	both		facebook.com/WakeParkPlesse	tsn44
FR	WAM Park 73	Montailleur	both	wam73.fr		tsn44
BE	The Spin Cablepark	Froidchapelle	both			waketricks
BE	RBSC WakePark Gent	Destelbergen	system2			waketricks
BE	Wake Up Cablepark Antwerpen	Antwerpen	both			waketricks
BE	Dock 79	Saint-Ghislain	both			waketricks
BE	Goodlife Cablepark	Hoogstraten	both			waketricks
BE	Lakeside Paradise	Knokke-Heist	both			waketricks
BE	Terhills Cablepark	Dilsen-Stokkem	fullsize			waketricks
BE	The Outsider Cable Park	Oudenaarde	fullsize			waketricks
BE	Waterskicentrum De Vossemeren	Lommel	fullsize			waketricks
CH	Alphasurf	Estavayer-le-Lac	fullsize	alphasurf.ch		waketricks
CH	Lieni Park	Wiesendangen	system2			waketricks
CH	Wakepark Romanshorn	Romanshorn	system2			waketricks
CH	Crans-Montana Wakepark	Crans-Montana	system2			waketricks
CH	Shali Lago	Taesch	system2			waketricks
CH	WakeWeeks Davos	Davos Dorf	system2			waketricks
CH	Wake Sport Center Geneve	Cologny	system2			tsn44
NL	CablePark Aquabest	Best	fullsize			waketricks
NL	Burnside Cable Park	Emst	fullsize			waketricks
NL	Beaver Creek Wake Park Roermond	Roermond	fullsize			waketricks
NL	Cablepark VIEW Almere	Almere	both			waketricks
NL	Lakeside Cablepark Zwolle	Zwolle	fullsize			waketricks
